newscan,angle,distance
0,303.75,612.75
0,306.40625,644.25
0,309.015625,682.25
0,311.796875,724.5
0,314.3125,776.0
0,317.0,837.0
0,319.609375,907.5
0,322.3125,998.25
0,325.0625,1114.75
0,327.8125,1126.25
0,330.4375,1257.75
0,333.09375,1463.75
0,340.890625,3555.0
0,343.6875,3483.0
0,346.40625,3615.75
1,349.15625,4053.0
0,351.9375,4082.75
0,358.109375,1494.5
0,0.875,1506.5
0,10.6875,0.0
0,13.46875,0.0
0,8.609375,3899.0
0,16.75,6250.5
0,19.53125,6073.5
0,26.328125,931.75
0,29.234375,927.25
0,31.9375,899.0
0,34.84375,888.0
0,37.546875,920.5
0,40.296875,935.75
0,42.96875,959.75
0,45.671875,1023.25
0,55.0625,0.0
0,57.828125,0.0
0,53.046875,3373.0
0,55.828125,3277.0
0,58.484375,3215.5
0,61.25,3160.75
0,64.03125,3127.5
0,66.765625,3210.5
0,69.5,3191.5
0,72.28125,3182.0
0,75.0625,3160.75
0,77.796875,3159.5
0,80.578125,3160.25
0,83.40625,3178.75
0,86.203125,3202.0
0,88.984375,3226.5
0,91.734375,3266.0
0,94.515625,3307.25
0,97.28125,3355.5
0,100.0625,3248.5
0,102.90625,2781.25
0,105.71875,2562.5
0,108.40625,2324.75
0,111.234375,2220.25
0,114.09375,1962.0
0,116.875,1794.5
0,119.65625,1817.0
0,122.484375,1646.25
0,125.296875,1591.25
0,128.0625,1520.25
0,130.875,1524.5
0,255.40625,359.0
0,261.0,368.25
0,263.875,362.75
0,266.71875,365.0
0,269.359375,367.75
0,271.96875,372.0
0,274.421875,377.25
0,277.203125,383.0
0,280.3125,389.75
0,282.75,397.75
0,285.3125,408.0
0,288.1875,401.5
0,290.890625,425.75
0,295.765625,537.5
0,298.40625,557.25
0,300.90625,580.75
0,303.421875,608.0
0,306.15625,639.0
0,308.59375,675.75
0,311.21875,718.25
0,313.859375,765.75
0,316.5,826.25
0,319.109375,895.25
0,321.6875,978.75
0,324.5625,1093.0
0,327.25,1131.25
0,330.0,1162.5
0,332.5,1415.0
0,340.328125,2655.5
0,342.96875,3455.0
0,345.734375,3617.5
0,348.390625,3672.0
1,351.140625,4055.5
0,353.890625,4074.75
0,357.3125,1490.25
0,0.03125,1499.5
0,9.8125,0.0
0,12.578125,0.0
0,7.703125,3869.75
0,13.1875,3692.5
0,21.3125,5790.75
0,24.09375,5414.75
0,28.125,914.0
0,30.875,913.75
0,33.65625,894.75
0,36.375,911.5
0,39.140625,917.75
0,41.859375,952.75
0,44.59375,976.0
0,47.234375,1067.0
0,59.375,0.0
0,54.5625,3307.75
0,57.3125,3245.25
0,59.953125,3189.5
0,62.703125,3139.5
0,65.453125,3105.75
0,68.171875,3205.25
0,70.9375,3188.0
0,73.640625,3159.5
0,76.40625,3158.5
0,79.125,3156.75
0,81.875,3162.75
0,84.75,3192.75
0,87.484375,3211.5
0,90.21875,3241.75
0,21.796875,3755.25
0,25.578125,944.25
0,28.3125,921.5
0,31.03125,902.25
0,33.796875,879.25
0,36.40625,906.75
0,39.09375,907.0
0,41.75,939.75
0,44.421875,959.75
0,47.0,1042.25
0,58.921875,0.0
0,54.03125,3319.75
0,56.703125,3260.0
0,59.28125,3201.0
0,61.96875,3153.25
0,64.640625,3124.75
0,67.265625,3209.25
0,69.9375,3186.75
0,72.625,3179.5
0,75.296875,3161.25
0,77.953125,3159.5
0,80.609375,3160.0
0,83.40625,3179.5
0,86.078125,3199.0
0,88.734375,3221.25
0,91.421875,3260.0
0,94.109375,3291.0
0,96.765625,3348.25
0,99.453125,3330.5
0,102.1875,2881.25
